,ScripToken,LTPrice,LTQuantity,LTDate,BidPrice,BidQuantity,OfferPrice,OfferQuantity,TotalTradedQty,TradedQuantity,AverageTradePrice,Open,High,Low,Close,PerChange,TurnOver,YearlyHigh,YearlyLow,UpperCkt,LowerCkt,Difference,CostofCarry1,CostOfCarry2,ChangeIndicator,SpotPrice,OITime,OI,OIHigh,OILow,TotalTrades,TradeValueFlag,Trend,SunFlag,AllnoneFlag,Tender,PriceQuotation,TotalBuyQty,TotalSellQty,SegmentId,OIDifference,OIDiffPercentage
839,106183,725,250,06/24/2020 09:34:12,690,250,745,250,56250,500,709,655,895,600,785,-764,400,0,0,0,0,-60,0,0,-,204680,09:33:11,337750,339250,334000,0,,,,,0,,99750,95750,,3250,97
840,64848,6850,300,06/24/2020 09:34:08,6790,300,6915,300,30000,300,6959,6550,7200,6550,6560,442,2100,0,0,0,0,290,0,0,+,204600,09:34:09,95100,95400,82200,0,,,,,0,,35700,37500,,12900,1569
841,95734,1048740,75,06/24/2020 09:34:12,1048615,75,1048795,75,1170225,450,1049383,1049930,1051265,1047875,1046770,19,12280100,0,0,0,0,1970,-8698,-8073,+,1051120,09:34:13,7781175,7781175,7398825,0,,,,,0,,300225,266550,,382350,517
842,46281,490,375,06/24/2020 09:34:13,485,525,490,1275,874575,1200,460,565,565,375,760,-3553,4000,0,0,0,0,-270,0,0,-,1051165,09:34:13,3463350,3491025,3463350,0,,,,,0,,404700,108450,,-18675,-54
843,46283,635,75,06/24/2020 09:34:33,630,3900,640,900,2045550,450,588,465,775,440,955,-3351,12000,0,0,0,0,-320,0,0,-,1051275,09:34:32,4730325,4730325,4629900,0,,,,,0,,759375,259200,,89175,192
844,46286,39850,75,06/24/2020 09:34:24,39735,225,39930,75,53400,75,40148,39315,41775,39000,37945,502,21400,0,0,0,0,1905,0,0,+,1051280,09:34:01,1105725,1115175,1105725,0,,,,,0,,68100,54750,,-9450,-85
845,46287,855,150,06/24/2020 09:34:34,850,750,860,1875,1693500,300,792,1150,1150,600,1280,-3320,13400,0,0,0,0,-425,0,0,-,1051330,09:34:34,2142225,2142225,2045625,0,,,,,0,,424500,136575,,57150,274
846,46288,30135,450,06/24/2020 09:34:32,30095,75,30230,900,191550,600,30689,30945,32140,29285,28440,596,58800,0,0,0,0,1695,0,0,+,1051205,09:34:32,849000,862050,847350,0,,,,,0,,439200,69600,,-13050,-151
847,46290,1220,150,06/24/2020 09:34:33,1215,375,1225,2025,2560425,1725,1141,1490,1490,910,1795,-3203,29200,0,0,0,0,-575,0,0,-,1051275,09:34:33,2685825,2716125,2668125,0,,,,,0,,259275,231300,,17700,66
848,46293,21005,75,06/24/2020 09:34:33,20955,75,21030,75,844200,75,21273,21310,22955,20235,19460,794,179600,0,0,0,0,1545,0,0,+,1051275,09:34:33,1533675,1590225,1533675,0,,,,,0,,491550,82800,,-56550,-356
849,106181,2200,250,06/24/2020 09:34:21,2205,250,2250,250,46250,250,2164,1810,2400,1810,2135,304,1000,0,0,0,0,65,0,0,+,204660,09:33:39,162500,164250,162000,0,,,,,0,,95750,80500,,500,31
850,46294,2075,75,06/24/2020 09:34:33,2080,1575,2095,600,3642675,1200,1960,2170,2295,1580,2895,-2832,71400,0,0,0,0,-820,0,0,-,1051275,09:34:33,3237750,3237750,2883750,0,,,,,0,,272775,294750,,354000,1228
851,46298,7145,75,06/24/2020 09:34:34,7160,300,7190,450,6390675,150,7356,6985,8300,6615,6475,1035,470100,0,0,0,0,670,0,0,+,1051330,09:34:33,4020450,4020450,3616275,0,,,,,0,,603450,432375,,404175,1118
852,64845,7300,300,06/24/2020 09:34:12,7260,300,7365,300,5700,300,7277,7230,7480,7200,7645,-451,400,0,0,0,0,-345,0,0,-,204710,09:24:12,39300,39300,38100,0,,,,,0,,28500,29700,,1200,315
853,106183,720,250,06/24/2020 09:34:26,720,250,730,250,57500,500,710,655,895,600,785,-828,400,0,0,0,0,-65,0,0,-,204745,09:33:11,337750,339250,334000,0,,,,,0,,101750,97000,,3250,97
854,64848,6965,300,06/24/2020 09:34:28,6900,1200,6965,300,30600,300,6959,6550,7200,6550,6560,617,2100,0,0,0,0,405,0,0,+,204760,09:34:09,95100,95400,82200,0,,,,,0,,37200,37500,,12900,1569
855,95734,1048805,75,06/24/2020 09:34:32,1048765,150,1048965,75,1178250,600,1049379,1049930,1051265,1047875,1046770,19,12364300,0,0,0,0,2035,-8715,-8020,+,1051275,09:34:33,7781175,7781175,7398825,0,,,,,0,,312525,274725,,382350,517
